Test solvent,mse,nlpd
"Methanol-Ethylene Glycol [1,2-Ethanediol]",0.021343759260091858,-0.7192892435476658
"1,1,1,3,3,3-Hexafluoropropan-2-ol-2-Methyltetrahydrofuran [2-MeTHF]",0.01984798202537007,-0.9210821145513528
Cyclohexane-IPA [Propan-2-ol],0.005205310704782382,0.4384562315880983
Water.Acetonitrile-Acetonitrile,0.02157712404123898,244.60874453958448
Acetonitrile-Acetonitrile.Acetic Acid,0.031368591323084984,112.95173261087066
2-Methyltetrahydrofuran [2-MeTHF]-Diethyl Ether [Ether],0.006700085782196691,-2.5587808321468746
"2,2,2-Trifluoroethanol-Water.2,2,2-Trifluoroethanol",0.01976130534549583,0.6112507967616346
"DMA [N,N-Dimethylacetamide]-Decanol",0.05027512203138699,1.8427855079028856
Ethanol-THF [Tetrahydrofuran],0.007023143230460752,1.1747176999386493
Dihydrolevoglucosenone (Cyrene)-Ethyl Acetate,0.028656189514708927,0.21237497834109476
MTBE [tert-Butylmethylether]-Butanone [MEK],0.050588324323439654,1.1501730612994867
tert-Butanol [2-Methylpropan-2-ol]-Dimethyl Carbonate,0.05972957042450264,1.5725531152607097
Methyl Propionate-Ethyl Lactate,0.07644347707536771,2.1046223079830786
